#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_XXmm_SINGLE_LAYER"
 4.859796762E-01 9.143846035E-01 -1.769830659E-02
 4.859761000E-01 9.143846035E-01 -1.769759879E-02
 4.826672673E-01 9.143846035E-01 -1.704364829E-02
 4.826636910E-01 9.143846035E-01 -1.704294421E-02
 4.793555737E-01 9.143846035E-01 -1.639304869E-02
 4.793519974E-01 9.143846035E-01 -1.639234833E-02
 4.760456383E-01 9.143846035E-01 -1.574558020E-02
 4.760420918E-01 9.143846035E-01 -1.574488357E-02
 4.727384746E-01 9.143846035E-01 -1.510231011E-02
 4.727349281E-01 9.143846035E-01 -1.510161813E-02
 4.694330692E-01 9.143846035E-01 -1.446217392E-02
 4.694295228E-01 9.143846035E-01 -1.446148567E-02
 4.661294818E-01 9.143846035E-01 -1.382517256E-02
 4.661259353E-01 9.143846035E-01 -1.382448711E-02
 4.628286064E-01 9.143846035E-01 -1.319136936E-02
 4.628250599E-01 9.143846035E-01 -1.319068763E-02
 4.595305920E-01 9.143846035E-01 -1.256077085E-02
 4.595270455E-01 9.143846035E-01 -1.256009284E-02
 4.562352598E-01 9.143846035E-01 -1.193436887E-02
 4.562317133E-01 9.143846035E-01 -1.193369552E-02
 4.529426992E-01 9.143846035E-01 -1.131117158E-02
 4.529391527E-01 9.143846035E-01 -1.131050102E-02
 4.496539235E-01 9.143846035E-01 -1.069124416E-02
 4.496503770E-01 9.143846035E-01 -1.069057733E-02
 4.463668764E-01 9.143846035E-01 -1.007544715E-02
 4.463633299E-01 9.143846035E-01 -1.007478498E-02
 4.430836737E-01 9.143846035E-01 -9.461926296E-03
 4.430801570E-01 9.143846035E-01 -9.461266920E-03
 4.398041666E-01 9.143846035E-01 -8.852670901E-03
 4.398006499E-01 9.143846035E-01 -8.852015249E-03
 4.365274608E-01 9.143846035E-01 -8.246622048E-03
 4.365239441E-01 9.143846035E-01 -8.245970123E-03
 4.332545400E-01 9.143846035E-01 -7.643840741E-03
 4.332510233E-01 9.143846035E-01 -7.643192541E-03
 4.299854040E-01 9.143846035E-01 -7.044333033E-03
 4.299818873E-01 9.143846035E-01 -7.043688092E-03
 4.267209470E-01 9.143846035E-01 -6.449162494E-03
 4.267174304E-01 9.143846035E-01 -6.448522210E-03
 4.234593511E-01 9.143846035E-01 -5.856199190E-03
 4.234558344E-01 9.143846035E-01 -5.855561234E-03
 4.202024937E-01 9.143846035E-01 -5.267572589E-03
 4.201989770E-01 9.143846035E-01 -5.266939756E-03
 4.169503748E-01 9.143846035E-01 -4.682289436E-03
 4.169468880E-01 9.143846035E-01 -4.681659862E-03
 4.137020707E-01 9.143846035E-01 -4.100276623E-03
 4.136985838E-01 9.143846035E-01 -4.099650774E-03
 4.104584754E-01 9.143846035E-01 -3.522602841E-03
 4.104549885E-01 9.143846035E-01 -3.521981649E-03
 4.072196186E-01 9.143846035E-01 -2.948270645E-03
 4.072161317E-01 9.143846035E-01 -2.947652945E-03
 4.039846659E-01 9.143846035E-01 -2.376215532E-03
 4.039811790E-01 9.143846035E-01 -2.375600394E-03
 4.007554054E-01 9.143846035E-01 -1.808565692E-03
 4.007519186E-01 9.143846035E-01 -1.807955210E-03
 3.975317776E-01 9.143846035E-01 -1.245322870E-03
 3.975283206E-01 9.143846035E-01 -1.244717161E-03
 3.943120837E-01 9.143846035E-01 -6.843587616E-04
 3.943086267E-01 9.143846035E-01 -6.837554392E-04
 3.910990655E-01 9.143846035E-01 -1.278698328E-04
 3.910956085E-01 9.143846035E-01 -1.272713416E-04
 3.878908455E-01 9.143846035E-01 4.252751532E-04
 3.878873885E-01 9.143846035E-01 4.258700646E-04
 3.846884072E-01 9.143846035E-01 9.750106256E-04
 3.846849501E-01 9.143846035E-01 9.756018408E-04
 3.814906180E-01 9.143846035E-01 1.520406804E-03
 3.814871907E-01 9.143846035E-01 1.520993421E-03
 3.782997131E-01 9.143846035E-01 2.063318621E-03
 3.782962859E-01 9.143846035E-01 2.063902561E-03
 3.751145303E-01 9.143846035E-01 2.601821674E-03
 3.751111031E-01 9.143846035E-01 2.602400724E-03
 3.719360232E-01 9.143846035E-01 3.135848558E-03
 3.719325960E-01 9.143846035E-01 3.136422951E-03
 3.687623739E-01 9.143846035E-01 3.667528508E-03
 3.687589467E-01 9.143846035E-01 3.668100340E-03
 3.655963540E-01 9.143846035E-01 4.193665460E-03
 3.655929565E-01 9.143846035E-01 4.194231238E-03
 3.624361753E-01 9.143846035E-01 4.717385396E-03
 3.624327779E-01 9.143846035E-01 4.717948847E-03
 3.592827022E-01 9.143846035E-01 5.236632191E-03
 3.592793047E-01 9.143846035E-01 5.237190519E-03
 3.561360240E-01 9.143846035E-01 5.752391648E-03
 3.561326265E-01 9.143846035E-01 5.752946250E-03
 3.529960215E-01 9.143846035E-01 6.263676099E-03
 3.529926538E-01 9.143846035E-01 6.264226045E-03
 3.498627841E-01 9.143846035E-01 6.771479733E-03
 3.498594165E-01 9.143846035E-01 6.772025954E-03
 3.467373550E-01 9.143846035E-01 7.275730837E-03
 3.467339873E-01 9.143846035E-01 7.276273333E-03
 3.436186314E-01 9.143846035E-01 7.775505539E-03
 3.436152637E-01 9.143846035E-01 7.776042912E-03
 3.405065536E-01 9.143846035E-01 8.270801976E-03
 3.405032158E-01 9.143846035E-01 8.271334693E-03
 3.374033868E-01 9.143846035E-01 8.763470687E-03
 3.374000490E-01 9.143846035E-01 8.764000610E-03
 3.343068361E-01 9.143846035E-01 9.250668809E-03
 3.343034983E-01 9.143846035E-01 9.251193143E-03
 3.312179744E-01 9.143846035E-01 9.734313935E-03
 3.312146664E-01 9.143846035E-01 9.734834544E-03
 3.281369209E-01 9.143846035E-01 1.021341141E-02
 3.281336129E-01 9.143846035E-01 1.021392643E-02
 3.250645995E-01 9.143846035E-01 1.068888884E-02
 3.250612915E-01 9.143846035E-01 1.068940014E-02
 3.219999671E-01 9.143846035E-01 1.115981489E-02
 3.219966590E-01 9.143846035E-01 1.116032153E-02
 3.189430237E-01 9.143846035E-01 1.162619703E-02
 3.189397454E-01 9.143846035E-01 1.162669901E-02
 3.158949018E-01 9.143846035E-01 1.208895538E-02
 3.158916235E-01 9.143846035E-01 1.208945271E-02
 3.128544390E-01 9.143846035E-01 1.254716795E-02
 3.128511608E-01 9.143846035E-01 1.254766062E-02
 3.098236620E-01 9.143846035E-01 1.300069224E-02
 3.098204136E-01 9.143846035E-01 1.300118025E-02
 3.068006933E-01 9.143846035E-01 1.345066261E-02
 3.067974448E-01 9.143846035E-01 1.345114689E-02
 3.037873507E-01 9.143846035E-01 1.389495283E-02
 3.037841022E-01 9.143846035E-01 1.389543060E-02
 3.007817566E-01 9.143846035E-01 1.433568913E-02
 3.007785380E-01 9.143846035E-01 1.433616318E-02
 2.977858484E-01 9.143846035E-01 1.477173623E-02
 2.977826297E-01 9.143846035E-01 1.477220561E-02
 2.947996855E-01 9.143846035E-01 1.520309877E-02
 2.947964668E-01 9.143846035E-01 1.520356257E-02
 2.918211520E-01 9.143846035E-01 1.562991366E-02
 2.918179631E-01 9.143846035E-01 1.563037187E-02
 2.888534367E-01 9.143846035E-01 1.605296507E-02
 2.888502479E-01 9.143846035E-01 1.605341956E-02
 2.858943343E-01 9.143846035E-01 1.647040434E-02
 2.858911455E-01 9.143846035E-01 1.647085324E-02
 2.829459310E-01 9.143846035E-01 1.688308269E-02
 2.829427719E-01 9.143846035E-01 1.688352600E-02
 2.800062895E-01 9.143846035E-01 1.729214191E-02
 2.800031304E-01 9.143846035E-01 1.729258150E-02
 2.770772874E-01 9.143846035E-01 1.769544743E-02
 2.770741284E-01 9.143846035E-01 1.769588143E-02
 2.741569579E-01 9.143846035E-01 1.809413172E-02
 2.741538286E-01 9.143846035E-01 1.809456013E-02
 2.712473571E-01 9.143846035E-01 1.848806441E-02
 2.712442279E-01 9.143846035E-01 1.848848723E-02
 2.683484554E-01 9.143846035E-01 1.887723245E-02
 2.683453262E-01 9.143846035E-01 1.887765154E-02
 2.654591799E-01 9.143846035E-01 1.926171593E-02
 2.654560804E-01 9.143846035E-01 1.926212944E-02
 2.625806630E-01 9.143846035E-01 1.964144222E-02
 2.625775635E-01 9.143846035E-01 1.964185014E-02
 2.597127557E-01 9.143846035E-01 2.001541294E-02
 2.597096860E-01 9.143846035E-01 2.001581527E-02
 2.568555176E-01 9.143846035E-01 2.038462646E-02
 2.568524480E-01 9.143846035E-01 2.038502321E-02
 2.540090382E-01 9.143846035E-01 2.074908279E-02
 2.540059686E-01 9.143846035E-01 2.074947394E-02
 2.511731684E-01 9.143846035E-01 2.110877819E-02
 2.511701286E-01 9.143846035E-01 2.110916562E-02
 2.483479828E-01 9.143846035E-01 2.146272548E-02
 2.483449429E-01 9.143846035E-01 2.146310546E-02
 2.455344647E-01 9.143846035E-01 2.181183733E-02
 2.455314398E-01 9.143846035E-01 2.181221358E-02
 2.427316457E-01 9.143846035E-01 2.215619572E-02
 2.427286357E-01 9.143846035E-01 2.215656638E-02
 2.399404496E-01 9.143846035E-01 2.249473333E-02
 2.399374545E-01 9.143846035E-01 2.249509655E-02
 2.371609509E-01 9.143846035E-01 2.282843739E-02
 2.371579558E-01 9.143846035E-01 2.282879688E-02
 2.343920767E-01 9.143846035E-01 2.315638959E-02
 2.343890965E-01 9.143846035E-01 2.315674163E-02
 2.316358835E-01 9.143846035E-01 2.347944118E-02
 2.316329181E-01 9.143846035E-01 2.347978950E-02
 2.288903892E-01 9.143846035E-01 2.379773557E-02
 2.288874388E-01 9.143846035E-01 2.379807830E-02
 2.261574864E-01 9.143846035E-01 2.411014214E-02
 2.261545509E-01 9.143846035E-01 2.411047742E-02
 2.234362513E-01 9.143846035E-01 2.441671677E-02
 2.234333307E-01 9.143846035E-01 2.441704646E-02
 2.207266837E-01 9.143846035E-01 2.471846715E-02
 2.207237631E-01 9.143846035E-01 2.471879125E-02
 2.180297375E-01 9.143846035E-01 2.501432225E-02
 2.180268317E-01 9.143846035E-01 2.501464076E-02
 2.153454870E-01 9.143846035E-01 2.530527860E-02
 2.153425962E-01 9.143846035E-01 2.530559152E-02
 2.126728445E-01 9.143846035E-01 2.559041232E-02
 2.126699686E-01 9.143846035E-01 2.559071966E-02
 2.100138366E-01 9.143846035E-01 2.586958371E-02
 2.100109756E-01 9.143846035E-01 2.586988360E-02
 2.073664963E-01 9.143846035E-01 2.614392340E-02
 2.073636502E-01 9.143846035E-01 2.614421770E-02
 2.047317922E-01 9.143846035E-01 2.641236968E-02
 2.047289610E-01 9.143846035E-01 2.641265839E-02
 2.021096945E-01 9.143846035E-01 2.667492442E-02
 2.021068782E-01 9.143846035E-01 2.667520754E-02
 1.995012313E-01 9.143846035E-01 2.693151124E-02
 1.994984299E-01 9.143846035E-01 2.693178691E-02
 1.969054490E-01 9.143846035E-01 2.718319930E-02
 1.969026625E-01 9.143846035E-01 2.718346938E-02
 1.943232864E-01 9.143846035E-01 2.742892876E-02
 1.943205148E-01 9.143846035E-01 2.742919326E-02
 1.917538196E-01 9.143846035E-01 2.766975574E-02
 1.917510629E-01 9.143846035E-01 2.767001465E-02
 1.891969144E-01 9.143846035E-01 2.790369280E-02
 1.891941577E-01 9.143846035E-01 2.790394425E-02
 1.866546571E-01 9.143846035E-01 2.813259326E-02
 1.866519302E-01 9.143846035E-01 2.813283913E-02
 1.841250509E-01 9.143846035E-01 2.835559659E-02
 1.841223240E-01 9.143846035E-01 2.835583687E-02
 1.816100478E-01 9.143846035E-01 2.857257053E-02
 1.816073358E-01 9.143846035E-01 2.857280336E-02
 1.791076511E-01 9.143846035E-01 2.878364921E-02
 1.791049540E-01 9.143846035E-01 2.878387645E-02
 1.766199470E-01 9.143846035E-01 2.898968756E-02
 1.766172647E-01 9.143846035E-01 2.898990922E-02
 1.741457880E-01 9.143846035E-01 2.918876708E-02
 1.741431206E-01 9.143846035E-01 2.918898128E-02
 1.716853231E-01 9.143846035E-01 2.938287891E-02
 1.716826707E-01 9.143846035E-01 2.938308753E-02
 1.692394763E-01 9.143846035E-01 2.957095392E-02
 1.692368388E-01 9.143846035E-01 2.957115695E-02
 1.668072343E-01 9.143846035E-01 2.975306846E-02
 1.668046117E-01 9.143846035E-01 2.975326404E-02
 1.643895954E-01 9.143846035E-01 2.992914617E-02
 1.643870026E-01 9.143846035E-01 2.992933616E-02
 1.619865894E-01 9.143846035E-01 3.009919263E-02
 1.619840115E-01 9.143846035E-01 3.009937517E-02
 1.595982611E-01 9.143846035E-01 3.026420064E-02
 1.595956981E-01 9.143846035E-01 3.026437759E-02
 1.572234929E-01 9.143846035E-01 3.042224981E-02
 1.572209448E-01 9.143846035E-01 3.042241931E-02
 1.548643261E-01 9.143846035E-01 3.057418950E-02
 1.548617929E-01 9.143846035E-01 3.057435341E-02
 1.525198519E-01 9.143846035E-01 3.072109632E-02
 1.525173336E-01 9.143846035E-01 3.072125465E-02
 1.501899809E-01 9.143846035E-01 3.086196631E-02
 1.501874775E-01 9.143846035E-01 3.086211719E-02
 1.478757411E-01 9.143846035E-01 3.099673241E-02
 1.478732526E-01 9.143846035E-01 3.099687770E-02
 1.455751061E-01 9.143846035E-01 3.112553991E-02
 1.455726326E-01 9.143846035E-01 3.112567775E-02
 1.432910711E-01 9.143846035E-01 3.124816529E-02
 1.432886124E-01 9.143846035E-01 3.124829754E-02
 1.410216689E-01 9.143846035E-01 3.136476129E-02
 1.410192251E-01 9.143846035E-01 3.136488795E-02
 1.387678683E-01 9.143846035E-01 3.147525713E-02
 1.387654394E-01 9.143846035E-01 3.147537634E-02
 1.365286857E-01 9.143846035E-01 3.157971427E-02
 1.365262717E-01 9.143846035E-01 3.157982603E-02
 1.343051642E-01 9.143846035E-01 3.167906404E-02
 1.343027800E-01 9.143846035E-01 3.167917207E-02
 1.320982873E-01 9.143846035E-01 3.177223727E-02
 1.320959181E-01 9.143846035E-01 3.177233785E-02
 1.299059242E-01 9.143846035E-01 3.185838833E-02
 1.299035698E-01 9.143846035E-01 3.185848147E-02
 1.277302653E-01 9.143846035E-01 3.193935752E-02
 1.277279258E-01 9.143846035E-01 3.193944320E-02
 1.255702078E-01 9.143846035E-01 3.201422095E-02
 1.255678833E-01 9.143846035E-01 3.201430291E-02
 1.234258339E-01 9.143846035E-01 3.208398074E-02
 1.234235242E-01 9.143846035E-01 3.208405524E-02
 1.212969944E-01 9.143846035E-01 3.214664012E-02
 1.212947071E-01 9.143846035E-01 3.214670718E-02
 1.191848442E-01 9.143846035E-01 3.220411763E-02
 1.191825718E-01 9.143846035E-01 3.220418096E-02
 1.170893013E-01 9.143846035E-01 3.225542605E-02
 1.170870513E-01 9.143846035E-01 3.225548193E-02
 1.150093749E-01 9.143846035E-01 3.230063245E-02
 1.150071397E-01 9.143846035E-01 3.230068088E-02
 1.129460484E-01 9.143846035E-01 3.233966231E-02
 1.129438281E-01 9.143846035E-01 3.233970329E-02
 1.108993366E-01 9.143846035E-01 3.237251937E-02
 1.108971387E-01 9.143846035E-01 3.237255290E-02
 1.088683084E-01 9.143846035E-01 3.240026906E-02
 1.088661253E-01 9.143846035E-01 3.240029886E-02
 1.068548933E-01 9.143846035E-01 3.242177516E-02
 1.068527251E-01 9.143846035E-01 3.242179751E-02
 1.048581451E-01 9.143846035E-01 3.243810311E-02
 1.048559994E-01 9.143846035E-01 3.243812174E-02
 1.028780043E-01 9.143846035E-01 3.244826198E-02
 1.028758734E-01 9.143846035E-01 3.244827315E-02
 1.009144858E-01 9.143846035E-01 3.245224431E-02
 1.009123772E-01 9.143846035E-01 3.245224804E-02
 9.896756709E-02 9.143846035E-01 3.245005757E-02
 9.896547347E-02 9.143846035E-01 3.245005384E-02
 9.703832865E-02 9.143846035E-01 3.244261816E-02
 9.703625739E-02 9.143846035E-01 3.244261071E-02
 9.512570500E-02 9.143846035E-01 3.242900968E-02
 9.512364864E-02 9.143846035E-01 3.242899477E-02
 9.323076159E-02 9.143846035E-01 3.241015226E-02
 9.322872013E-02 9.143846035E-01 3.241013363E-02
 9.135241807E-02 9.143846035E-01 3.238512203E-02
 9.135039896E-02 9.143846035E-01 3.238509595E-02
 8.949175477E-02 9.143846035E-01 3.235485032E-02
 8.948975056E-02 9.143846035E-01 3.235481679E-02
 8.764869720E-02 9.143846035E-01 3.231833130E-02
 8.764671534E-02 9.143846035E-01 3.231829032E-02
 8.582331240E-02 9.143846035E-01 3.227656335E-02
 8.582135290E-02 9.143846035E-01 3.227651864E-02
 8.401461691E-02 9.143846035E-01 3.222962096E-02
 8.401267231E-02 9.143846035E-01 3.222956881E-02
 8.222451806E-02 9.143846035E-01 3.217636421E-02
 8.222259581E-02 9.143846035E-01 3.217630833E-02
 8.045103401E-02 9.143846035E-01 3.211694211E-02
 8.044912666E-02 9.143846035E-01 3.211687878E-02
 7.869622111E-02 9.143846035E-01 3.205219656E-02
 7.869433612E-02 9.143846035E-01 3.205212578E-02
 7.695909590E-02 9.143846035E-01 3.198220581E-02
 7.695722580E-02 9.143846035E-01 3.198213130E-02
 7.523963600E-02 9.143846035E-01 3.190697357E-02
 7.523778826E-02 9.143846035E-01 3.190689161E-02
 7.353785634E-02 9.143846035E-01 3.182648867E-02
 7.353602350E-02 9.143846035E-01 3.182640299E-02
 7.185468078E-02 9.143846035E-01 3.173969686E-02
 7.185287029E-02 9.143846035E-01 3.173960373E-02
 7.018918544E-02 9.143846035E-01 3.164765611E-02
 7.018739730E-02 9.143846035E-01 3.164755553E-02
 6.854236126E-02 9.143846035E-01 3.155029938E-02
 6.854058802E-02 9.143846035E-01 3.155019507E-02
 6.691321731E-02 9.143846035E-01 3.144769743E-02
 6.691146642E-02 9.143846035E-01 3.144758567E-02
 6.530274451E-02 9.143846035E-01 3.133977577E-02
 6.530101597E-02 9.143846035E-01 3.133966029E-02
 6.371095031E-02 9.143846035E-01 3.122654371E-02
 6.370923668E-02 9.143846035E-01 3.122642264E-02
 6.213682890E-02 9.143846035E-01 3.110806644E-02
 6.213513762E-02 9.143846035E-01 3.110793978E-02
 6.058138609E-02 9.143846035E-01 3.098427132E-02
 6.057971343E-02 9.143846035E-01 3.098413907E-02
 5.904461816E-02 9.143846035E-01 3.085516021E-02
 5.904296413E-02 9.143846035E-01 3.085502051E-02
 5.752751604E-02 9.143846035E-01 3.072066419E-02
 5.752588436E-02 9.143846035E-01 3.072051890E-02
 5.602809787E-02 9.143846035E-01 3.058092482E-02
 5.602648482E-02 9.143846035E-01 3.058077395E-02
 5.454742163E-02 9.143846035E-01 3.043686226E-02
 5.454583094E-02 9.143846035E-01 3.043670766E-02
 5.308534950E-02 9.143846035E-01 3.028649092E-02
 5.308377743E-02 9.143846035E-01 3.028632887E-02
 5.164301768E-02 9.143846035E-01 3.013172746E-02
 5.164146796E-02 9.143846035E-01 3.013156168E-02
 5.021843687E-02 9.143846035E-01 2.997271717E-02
 5.021690577E-02 9.143846035E-01 2.997254580E-02
 4.881452024E-02 9.143846035E-01 2.980825305E-02
 4.881301150E-02 9.143846035E-01 2.980807610E-02
 4.742828757E-02 9.143846035E-01 2.963854186E-02
 4.742679745E-02 9.143846035E-01 2.963835932E-02
 4.606172442E-02 9.143846035E-01 2.946344763E-02
 4.606025293E-02 9.143846035E-01 2.946325950E-02
 4.471390322E-02 9.143846035E-01 2.928403392E-02
 4.471245408E-02 9.143846035E-01 2.928384021E-02
 4.338582605E-02 9.143846035E-01 2.910022996E-02
 4.338439927E-02 9.143846035E-01 2.910003252E-02
 4.207642749E-02 9.143846035E-01 2.891111188E-02
 4.207501933E-02 9.143846035E-01 2.891090885E-02
 4.078676179E-02 9.143846035E-01 2.871760912E-02
 4.078537598E-02 9.143846035E-01 2.871740051E-02
 3.951677680E-02 9.143846035E-01 2.851871774E-02
 3.951540962E-02 9.143846035E-01 2.851850353E-02
 3.826652840E-02 9.143846035E-01 2.831543609E-02
 3.826518357E-02 9.143846035E-01 2.831521817E-02
 3.703502566E-02 9.143846035E-01 2.810784057E-02
 3.703369945E-02 9.143846035E-01 2.810761705E-02
 3.582326695E-02 9.143846035E-01 2.789585479E-02
 3.582196310E-02 9.143846035E-01 2.789562754E-02
 3.463117778E-02 9.143846035E-01 2.767848782E-02
 3.462989628E-02 9.143846035E-01 2.767825313E-02
 3.345790505E-02 9.143846035E-01 2.745779417E-02
 3.345664218E-02 9.143846035E-01 2.745755762E-02
 3.230530024E-02 9.143846035E-01 2.723165043E-02
 3.230405971E-02 9.143846035E-01 2.723140642E-02
 3.117243573E-02 9.143846035E-01 2.700111456E-02
 3.117121756E-02 9.143846035E-01 2.700086683E-02
 3.005931526E-02 9.143846035E-01 2.676619589E-02
 3.005811758E-02 9.143846035E-01 2.676594257E-02
 2.896593697E-02 9.143846035E-01 2.652688324E-02
 2.896476164E-02 9.143846035E-01 2.652662620E-02
 2.789237164E-02 9.143846035E-01 2.628418244E-02
 2.789121680E-02 9.143846035E-01 2.628392167E-02
 2.683847770E-02 9.143846035E-01 2.603610046E-02
 2.683734335E-02 9.143846035E-01 2.603583410E-02
 2.580532059E-02 9.143846035E-01 2.578355744E-02
 2.580420859E-02 9.143846035E-01 2.578328550E-02
 2.479098178E-02 9.143846035E-01 2.552769333E-02
 2.478989027E-02 9.143846035E-01 2.552741766E-02
 2.379737981E-02 9.143846035E-01 2.526737191E-02
 2.379631065E-02 9.143846035E-01 2.526709251E-02
 2.282451652E-02 9.143846035E-01 2.500259317E-02
 2.282346971E-02 9.143846035E-01 2.500230819E-02
 2.187047154E-02 9.143846035E-01 2.473449335E-02
 2.186944522E-02 9.143846035E-01 2.473420464E-02
 2.093808725E-02 9.143846035E-01 2.446087077E-02
 2.093708515E-02 9.143846035E-01 2.446057647E-02
 2.002459206E-02 9.143846035E-01 2.418491989E-02
 2.002361044E-02 9.143846035E-01 2.418462373E-02
 1.913176849E-02 9.143846035E-01 2.390352078E-02
 1.913080737E-02 9.143846035E-01 2.390321903E-02
 1.825974695E-02 9.143846035E-01 2.361865714E-02
 1.825881004E-02 9.143846035E-01 2.361835167E-02
 1.740754396E-02 9.143846035E-01 2.333040349E-02
 1.740662754E-02 9.143846035E-01 2.333009429E-02
 1.657607779E-02 9.143846035E-01 2.303769626E-02
 1.657518372E-02 9.143846035E-01 2.303738147E-02
 1.576442458E-02 9.143846035E-01 2.274159342E-02
 1.576355100E-02 9.143846035E-01 2.274127491E-02
 1.497350913E-02 9.143846035E-01 2.244103700E-02
 1.497265883E-02 9.143846035E-01 2.244071290E-02
 1.420340128E-02 9.143846035E-01 2.213702351E-02
 1.420257334E-02 9.143846035E-01 2.213669568E-02
 1.345310267E-02 9.143846035E-01 2.182962745E-02
 1.345229615E-02 9.143846035E-01 2.182929777E-02
 1.272451133E-02 9.143846035E-01 2.151776664E-02
 1.272372808E-02 9.143846035E-01 2.151743136E-02
 1.201560535E-02 9.143846035E-01 2.120279521E-02
 1.201484259E-02 9.143846035E-01 2.120245621E-02
 1.132589672E-02 9.143846035E-01 2.088569663E-02
 1.132515538E-02 9.143846035E-01 2.088535577E-02
 1.065520849E-02 9.143846035E-01 2.056944184E-02
 1.065448765E-02 9.143846035E-01 2.056910098E-02
 9.993847460E-03 9.143846035E-01 2.027071454E-02
